year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1984,1.147,10.98700047,2.243000031,-6.993000031,19.7310009,54.59899902,3.21,6.589250393,163.579998,2.596666667,-1.432250023,14.61200023
1985,1.078,9.116000175,0.583000004,-4.59499979,17.64999962,47.39500046,2.01,7.956750333,148.6199989,0.62,-0.217749953,16.13225007
1986,1.128,11.15700054,2.121999979,-5.875999928,20.19400024,44.36800003,2.3,8.001000404,168.4120026,2.303333333,-0.356250003,16.36024976
1987,1.099,7.705000401,-0.588999987,-1.79400003,15.99800014,55.55699921,0.65,7.857250452,232.1720009,1.513333333,0.036749989,15.67775035
1988,1.177,10.67000008,1.31400001,-4.15199995,20.02799988,6.099999905,-4.24,9.380000293,59.55300164,-3.863333333,1.220750064,17.54025006
1989,1.087,10.16600037,2.072000027,-4.993000031,18.26199913,62.52000046,-0.98,8.027000308,158.2480011,-1.1,-0.05825001,16.11350012
1990,1.104,10.0180006,2.256000042,-7.157999992,17.78000069,53.80899811,0.92,6.443750413,135.7979965,0.413333333,-0.955999971,13.84375012
1991,1.121,11.12100029,3.114000082,-5.03399992,19.12800026,32.79499817,1.24,7.334500313,110.0549965,0.913333333,-0.026749969,14.69675016
1992,1.066,9.214000702,1.40199995,-3.053999901,17.02700043,16.81500053,3.05,6.758500278,295.3670101,3.256666667,-0.323249981,13.84050012
1993,1.028,7.605000496,0.549000025,-3.885999918,14.6619997,39.29899979,2.91,5.29425025,224.8959999,2.903333333,-1.407749966,11.99650002
1994,1.134,10.93000031,2.694999933,-3.430000067,19.16699982,21.75900078,0.83,7.782500327,136.2799969,-0.513333333,0.004499972,15.56124973
1995,1.106,10.31300068,2.346999884,-6.705999851,18.28199959,27.05500031,3.04,6.21425043,157.5519981,2.606666667,-1.117750019,13.54799986
1996,1.141,10.07500076,1.588000059,-5.59499979,18.56200027,26.04599953,2.94,6.938500438,72.35499955,2.86,-0.760249913,14.63774991
1997,1.044,9.575000763,2.457000017,-5,16.69499969,54.70700073,4.59,7.108500481,198.7050018,4.533333333,0.01175002,14.20699978
1998,1.107,11.03800011,3.448999882,-4.320000172,18.62899971,50.26399994,-0.53,7.268750131,230.4909935,0.746666667,0.322999954,14.2157501
1999,1.127,10.79100037,3.420000076,-5.245999813,18.16399956,51.11000061,0.76,6.937250406,163.2639999,1.143333333,-0.099499941,13.9749999
2000,1.141,11.67300034,3.486000061,-3.776000023,19.86100006,24.97500038,-0.03,8.003750443,109.8840027,-0.363333333,0.70100002,15.3067503
2001,1.132,12.27300072,3.904999971,-4.25,20.64299965,11.68400002,-1.23,8.547750473,154.1939983,-1.63,1.000999939,16.09599996
2002,1.094,9.084000587,1.498999953,-6.078000069,16.67099953,48.00500107,1.62,7.459500477,188.5940056,1.626666667,0.07975002,14.84025002
2003,1.143,12.66900063,5.380000114,-4.479000092,19.95800018,12.54599953,-2.84,8.564000487,77.04999924,-2.76,1.136500031,15.9920001
