year,chron,tmax.lsum,stream.yel,swe.yel
1231,0.58,0.84,88.46804609,36.482
1232,0.494,-1.4,99.95083705,55.533
1233,0.35,-1.63,94.35967481,61.031
1234,0.435,0.24,69.78891324,69.493
1235,0.286,-0.36,103.225367,50.788
1236,0.323,0.09,115.8207667,43.961
1237,0.556,1.22,67.10987587,27.224
1238,0.347,-0.02,170.1321677,43.538
1239,0.489,0.17,147.158867,27.255
1240,0.417,-1.07,127.8752323,56.162
1241,0.373,0.65,168.5723866,38.324
1242,0.531,0.88,113.1843642,31.276
1243,0.38,-0.13,66.03686316,54.918
1244,0.304,-0.17,66.49460883,79.428
1245,0.451,0.8,70.11104423,46.515
1246,0.322,0.28,99.95083705,58.291
1247,0.263,-0.28,123.2498603,57.79
1248,0.272,-0.69,63.9420323,58.513
1249,0.299,-0.43,67.57505931,52.132
1250,0.308,0.47,81.80624067,31.687
1251,0.237,-0.73,52.57586608,70.979
1252,0.397,0.17,69.78891324,35.487
1253,0.407,-0.43,89.6987592,45.66
1254,0.292,0.17,86.4542675,63.569
1255,0.341,0.28,107.841628,50.343
1256,0.342,0.17,94.57719633,44.251
1257,0.428,0.24,109.8465536,34.194
1258,0.441,0.73,69.14908464,58.796
1259,0.512,-1.33,109.8465536,37.983
1260,0.445,-0.8,111.8887535,38.071
1261,0.345,1.33,77.05244702,68.921
1262,0.315,0.73,81.80624067,59.829
1263,0.459,0.95,50.79096164,39.078
1264,0.321,0.62,78.12435333,65.721
1265,0.196,-0.36,139.5681865,70.77
1266,0.32,-0.24,153.386252,43.53
1267,0.325,-0.13,115.8207667,53.661
1268,0.285,0.21,95.67234865,44.75
1269,0.255,-1.78,90.11278986,59.007
1270,0.287,-0.32,70.75977374,54.056
1271,0.315,0.02,118.5185789,41.238
1272,0.263,-0.84,93.06501154,64.744
1273,0.191,-0.92,102.9879552,63.617
1274,0.231,-0.02,62.91966991,62.345
1275,0.214,-0.77,65.88498259,60.07
1276,0.331,-0.36,78.12435333,45.229
1277,0.261,-1.7,147.4981032,59.263
1278,0.225,0.32,68.04346724,74.137
1279,0.328,0.95,62.1994344,58.905
1280,0.236,-0.17,101.5749075,67.327
1281,0.274,-1.55,119.3401105,55.319
1282,0.357,0.43,195.7881648,28.201
1283,0.262,-0.06,98.80670928,54.164
1284,0.269,-2.64,153.0334734,51.799
1285,0.306,-0.32,91.15624679,56.727
1286,0.293,-0.99,153.0334734,47.275
1287,0.315,-2.83,128.1700151,63.962
1288,0.289,0.02,65.43143356,60.769
1289,0.26,-1.59,111.8887535,53.886
1290,0.246,-0.24,150.5866374,54.32
1291,0.32,-0.17,124.9644366,60.923
1292,0.213,-0.09,102.2789911,62.306
1293,0.316,-1.4,189.5773445,45.44
1294,0.276,-2.15,98.80670928,59.111
1295,0.403,-0.09,85.46463369,24.243
1296,0.243,0.77,75.47210021,74.32
1297,0.347,-0.09,100.4121892,46.172
1298,0.394,-1.44,161.7284542,38.743
1299,0.413,1.59,134.8299693,28.661
1300,0.341,0.21,97.90084392,63.537
1301,0.224,0.06,62.48653394,54.391
1302,0.32,-1.03,94.57719633,43.88
1303,0.261,0.73,112.4052085,51.064
1304,0.197,0.8,54.17344268,85.718
1305,0.244,0.77,113.1843642,56.455
1306,0.275,1.37,51.61624838,48.51
1307,0.223,0.02,52.09384764,70.644
1308,0.285,0.99,118.5185789,24.285
1309,0.315,0.17,77.05244702,44.084
1310,0.29,0.02,118.2459938,48.064
1311,0.353,0.13,104.1804995,39.257
1312,0.251,0.21,142.8191472,57.524
1313,0.345,0.95,93.71010738,23.507
1314,0.368,1.63,142.1629528,40.411
1315,0.326,0.43,154.4494747,62.195
1316,0.296,1.48,90.94659324,57.732
1317,0.193,0.54,35.79203863,76.572
1318,0.191,0.21,111.1185167,56.135
1319,0.272,0.99,76.87523131,51.577
1320,0.215,1.25,83.32713224,41.024
1321,0.272,-2.71,94.79521928,57.637
1322,0.31,-0.02,107.5935992,22.897
1323,0.278,-0.06,103.940891,70.682
1324,0.243,-0.28,57.38342096,51.893
1325,0.341,1.07,126.1207183,33.18
1326,0.28,-0.39,195.3378645,43.85
1327,0.246,0.39,89.28663084,64.859
1328,0.302,0.88,91.57700491,43.657
1329,0.3,-3.31,101.3412917,41.475
1330,0.287,-2.53,139.2471886,73.567
1331,0.36,-1.67,189.5773445,30.714
1332,0.361,-0.54,165.1149645,53.894
