year,std,stream.yel,swe.yel,tmax.lsum
1071,0.605,81.24309047,67.155,-0.09
1072,0.416,65.13080343,48.587,1.1
1073,0.782,112.1466837,39.849,0.84
1074,0.753,65.28094544,75.636,0.84
1075,0.952,96.33551769,46.038,1.07
1076,0.906,117.161908,57.272,0.73
1077,1.151,114.4949774,52.165,1.4
1078,0.98,86.85332227,60.649,1.22
1079,0.984,126.9949454,51.034,1.25
1080,1.402,122.4014142,47.111,-1.22
1081,1.087,117.161908,27.077,1.7
1082,0.926,102.9879552,60.05,0.92
1083,1.419,118.7917925,50.49,1.63
1084,0.956,106.1173596,81.386,-0.17
1085,1.183,145.4743534,52.204,-0.84
1086,1.414,197.1453035,43.669,0.13
1087,1.553,193.5469962,29.954,-1.1
1088,1.225,149.5500063,46.622,0.62
1089,1.373,109.3418545,43.862,0.32
1090,1.359,116.3553711,43.164,-0.17
1091,1.244,57.11976809,35.885,0.47
1092,1.017,77.9446723,56.415,-0.39
1093,1.19,124.9644366,48.563,0.02
1094,1.231,98.80670928,64.633,0.51
1095,0.84,85.07195936,62.809,-0.47
1096,1.026,80.86981238,53.729,0.8
1097,1.148,64.0894339,47.62,1.1
1098,1.012,91.36638364,67.807,-0.77
1099,1.156,106.3619854,50.92,0.09
1100,1.179,91.99970516,29.011,0.13
1101,1.131,80.12839348,41.166,-0.43
1102,1.03,80.68381697,51.982,-0.28
1103,0.937,155.8785781,57.857,-0.58
1104,1.143,58.58500017,12.028,0.24
1105,1.271,116.0877611,49.023,0.21
1106,1.628,102.7510895,66.699,-0.06
1107,1.159,162.4749588,46.291,0.35
1108,0.82,81.80624067,58.747,0.8
1109,1.007,95.45230835,68.513,-0.51
1110,0.941,120.4443509,33.803,0.06
1111,1.135,101.8090618,65.379,-1.25
1112,0.822,131.7608645,53.949,-1.18
1113,1.109,143.8091222,40.839,-1.55
1114,0.969,113.1843642,58.091,-0.24
1115,1.065,72.24144687,50.409,-0.95
1116,1.284,114.7589155,21.767,-0.28
1117,1.196,149.5500063,60.346,-1.14
1118,0.87,148.1789236,69.864,-1.52
1119,0.814,105.3868529,60.427,-0.32
1120,0.694,137.9705627,75.131,-0.36
1121,0.782,122.6835786,52.181,-0.99
1122,1.19,78.12435333,51.576,0.24
1123,0.542,64.23717531,76.719,0.35
1124,0.907,72.74220065,39.973,0.77
1125,0.797,121.0002968,68,-0.09
1126,0.62,48.72888067,62.6,-0.39
1127,0.848,77.58654907,76.013,-0.47
1128,1.012,125.5412462,38.481,-0.36
1129,0.767,152.6815062,74.254,-0.88
1130,0.643,80.49824934,61.519,-0.36
1131,1.016,90.11278986,55.966,-0.84
1132,0.732,67.57505931,61.115,-0.24
1133,0.748,91.15624679,53.483,-0.28
1134,0.808,119.8909594,53.798,-1.67
1135,0.73,90.5287316,64.051,-0.73
1136,0.777,117.161908,60.118,-0.84
1137,0.786,98.35273369,60.06,-0.06
1138,1.192,98.12652868,54.697,-1.33
1139,1.072,186.9762458,75.414,-3.31
1140,0.955,117.7027028,62.273,-1.18
1141,1.278,68.83137346,43.749,-0.77
1142,1.098,164.7352106,94.511,-1.29
1143,1.374,137.02078,40.094,-1.25
1144,0.971,174.4963855,53.412,-0.8
1145,1.038,95.45230835,55.58,-0.17
1146,1.39,142.4906723,38.645,-0.13
1147,1.03,103.940891,60.342,-0.8
1148,1.091,60.226335,61.949,0.8
