year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1954,0.675,14.25700092,8.06099987,20.45499992,14.62100029,0.77,10.18550038,4.058749981,16.3132503,140.866003,-0.045
1955,0.819,12.74900055,6.356999874,19.1420002,28.27499962,-1.22,10.17325044,3.973999947,16.37325001,128.2119999,0.9025
1956,0.666,11.81800079,5.427999973,18.20999908,30.82799911,-0.58,10.46200061,4.292249918,16.63324976,83.49300003,3.3375
1957,0.838,12.87900066,6.389999866,19.36899948,29.95800018,1.86,9.55575037,3.216500014,15.89550018,204.5200024,5.94
1958,0.733,8.960000038,2.415999889,15.50500011,31.65399933,4.84,8.786500335,2.557249993,15.01674986,207.038002,2.4475
1959,0.727,12.06300068,5.176000118,18.95100021,64.01300049,2.76,9.603750467,3.134250015,16.07474995,103.7950001,2.455
1960,0.719,13.85700035,6.834000111,20.88100052,25.4489994,1.12,10.11050034,3.352500022,16.8690002,110.5220032,-2.1275
1961,0.794,12.50000095,5.522999763,19.47900009,13.44499969,-2.34,9.712500513,3.267499983,16.1587503,112.8290005,-3.155
1962,0.693,10.21700096,3.637000084,16.79800034,36.71300125,-3.51,8.782750607,2.462000027,15.10475016,202.927002,2.6725
1963,0.903,12.57300091,5.743999958,19.40200043,51.48699951,3.1,10.22650051,3.91050005,16.54299998,135.1980009,2.7825
1964,0.96,13.98800087,7.328999996,20.64800072,20.99099922,1.46,8.918000579,2.534500003,15.30275011,192.3799935,2.84
1965,0.738,11.29500008,4.556000233,18.0340004,17.72900009,2.19,7.049000219,0.620250031,13.47825038,159.5099945,3.755
1966,0.752,14.29200077,7.714000225,20.87000084,39.39099884,3.37,10.13100052,3.893250048,16.3695004,127.1240025,-0.2325
1967,0.795,12.17900085,5.329999924,19.02899933,18.71800041,-1.5,9.547500491,3.070500002,16.02524996,212.819004,3.9075
1968,0.827,11.61800098,4.514999866,18.72200012,42.23899841,3.23,8.164250493,1.606749967,14.72250009,246.7870007,3.2425
1969,0.663,11.46500015,4.684000015,18.24600029,19.50900078,3.64,9.666000485,3.168250024,16.16474986,210.5730038,1.9725
1970,0.715,11.85100079,4.681000233,19.02199936,42.44200134,1.76,9.409250557,2.861000002,15.95825005,135.2479973,2.2825
1971,0.566,10.4260006,3.288000107,17.56500053,38.72800064,1.26,8.926000357,2.316250026,15.53650022,117.4290009,2.8125
1972,0.596,9.872000694,3.055999994,16.68899918,25.52000046,1.69,8.267750442,1.896000028,14.64049983,173.4099998,3.0875
